policy,reward_mean,reward_std,delivered_mean,delivered_std,collisions_mean,collisions_std,congestion_risk_mean
Greedy,23.3410000000003,40.22022238874377,2.0,0.6324555320336759,832.0,11.198214143335536,11.5
Congestion Greedy,48.111000000000345,63.887166543837395,2.4,1.019803902718557,822.7,22.89563277133873,12.5
Random,-424.24200000000246,187.2195464581633,3.6,2.973213749463701,778.8,70.25781095365838,18.2
Congestion-Aware HRL,246.03900000000021,353.5438790503951,5.9,5.699999999999999,746.1,103.37064380180671,29.5
